equation_id,source_paragraph_id,original_text,normalized_latex,symbols,declared_units,dimensional_check,status,rationale
UMCH-EQ-0001,UMCH-SRC-P0008,"Il principio d'inerzia classico assume che in assenza di forze un corpo persista in uno stato di moto rettilineo uniforme, corrispondente all'annullamento della quadri-accelerazione Aμ=0. In questo lavoro postuliamo che la linea d'universo di qualsiasi entità fisica dotata di energia-impulso sia soggetta a una curvatura geodetica minima ineliminabile κ0​>0.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0002,UMCH-SRC-P0009,"Nel quadro di Frenet-Serret 4D, la quadri-velocità Uμ e la quadri-accelerazione Aμ soddisfano il vincolo:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0003,UMCH-SRC-P0010,"dτDUμ​=Aμ=c2κ(τ)Nμ,κ(τ)≥κ0​>0","D U^\mu/d\tau=A^\mu=c^2\kappa N^\mu,\quad \kappa\ge\kappa_0>0",U^μ;A^μ;τ;κ;κ₀;N^μ;c,[A]=LT^-2;[κ]=[κ₀]=L^-1,PASS_WITH_HYPOTHESIS_SEPARATION,CORRECTABLE,Identity and independent lower-bound hypothesis must be separated.
UMCH-EQ-0004,UMCH-SRC-P0011,"dove Nμ è il quadri-vettore normale unitario (NμNμ​=1) e UμUμ​=−c2. Poiché Uμ​Nμ=0, la norma dell'energia-impulso PμPμ​=−m02​c2 rimane rigorosamente invariante.","N^\mu N_\mu=1,\ U^\mu U_\mu=-c^2,\ P^\mu P_\mu=-m_0^2c^2",N^μ;U^μ;P^μ;m₀;c,[P²]=M²L²T^-2,PASS_WITH_CONSTANT_MASS_ASSUMPTION,SUPPORTED_WITH_CONDITIONS,"Requires P=m₀U, constant rest mass, and normalized N where κ is nonzero."
UMCH-EQ-0005,UMCH-SRC-P0014,m0​Aμ=Fextμ​+τ0​m0​(dτDAμ​−c2Aα​Aα​Uμ),,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0006,UMCH-SRC-P0015,"con τ0​=6πϵ0​m0​c3q2​. Utilizzando le equazioni di Frenet-Serret 4D per sviluppare dτDAμ​=c2κ˙Nμ+c2κ2Uμ+c2κτ1​Bμ (dove Bμ è il quadri-vettore binormale e τ1​ è la torsione geodetica), la quadri-forza di reazione si riduce a:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0007,UMCH-SRC-P0016,Fradμ​=τ0​m0​c2(κ˙Nμ+κτ1​Bμ),,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0008,UMCH-SRC-P0017,"Imponendo il vincolo di curvatura costante κ(τ)=κ0​, si ottiene l'equazione regolarizzata:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0009,UMCH-SRC-P0018,m0​c2κ0​Nμ=Fextμ​+τ0​m0​c2κ0​τ1​Bμ,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0010,UMCH-SRC-P0019,L'auto-forza agisce esclusivamente lungo la binormale Bμ. Questo sopprime analiticamente le soluzioni instabili runaway senza violare l'ortogonalità Uμ​Fradμ​=0.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
