equation_label,classification,symbols_dimensions,domain_assumptions,status,limitation,failure_gate
eq:u-geodesic,KNOWN_RESULT,a:[L/T^2];u:[L/T];nabla:[1/L],timelike geodesic with declared connection and affine proper-time parametrization,SUPPORTED_WITH_CONDITIONS,zero proper acceleration does not imply zero spacetime curvature,non-geodesic motion or changed conventions
eq:u-vector,PROJECT_DEFINITION,all R_i dimensionless,resolved frame; fixed region and channel protocols,DEFINED_NOT_EVIDENCE,channel normalization and double counting remain protocol-dependent,any component lacks reproducible normalization
eq:u-norms,PROJECT_DEFINITION,C_2:[1];C_infinity:[1],dimensionless raw vector and norm fixed before data,DEFINED_NOT_EVIDENCE,norm compression cannot replace raw vector,post-data norm switching
eq:u-families,HYPOTHESIS,x:[1];A/A_inf/A_1:[1];p/q:[1],x=ell/ell0>=1; positive parameters; family fixed before data,UNPROVEN_THRESHOLD_FAMILIES,not derived physical laws and F_0 remains competitor,domain violation or post-data family selection
eq:u-degeneracy,NEGATIVE_RESULT,A*ell0^p:[L^p];q/ell0:[1/L],free amplitudes and shape parameters under current families,EXACT_REPARAMETERIZATION_IDENTITY,scoped to F_P F_E F_PE with stated freedoms,independent calibration or alternative family breaking symmetry
eq:u-turnover,PROJECT_DERIVATION,F_T/A/x/p/q:[1],x=ell/ell0>=1; A>0; p>q>0 fixed independently,MATHEMATICAL_IDENTIFIABILITY_CANDIDATE_ONLY,no physical derivation of q or turnover,free p or q; missing independent mechanism; no turnover coverage
eq:u-inversion,PROJECT_DERIVATION,ell0/ell1/ell2:[L];y1/y2/p/q:[1],positive distinct responses and scales; fixed p/q; ell>=ell0; consistent signs,MATHEMATICAL_IDENTIFIABILITY_CANDIDATE_ONLY,exact noiseless structural inversion not practical estimator,zero denominator; nonpositive inferred ell0; inferred ell0 exceeds sampled ell; free shape
eq:u-kk-potential,KNOWN_RESULT,Phi:[1] under project unit amplitude;r/L:[1];y/L:[1],static point source on flat R3 x S1 away from singular support,SOURCE_SCOPED_MODEL_RESULT,normalization convention and Newtonian scalar scope do not establish full tensor gravity,canonical compact-circle Green function or asymptotic mismatch
eq:u-kk-tidal,PROJECT_DERIVATION,T_ij:[L^-3] under fixed project amplitude,regular observation point; declared source and probe profiles; flat-background Cartesian basis,MODEL_LEVEL_DIMENSIONLESS_KK_SHAPE_DERIVED_NOT_EVIDENCE,raw Hessian is not complete gauge-fixed 5D Riemann or detector readout,matrix reconstruction source-limit or rotation-covariance failure
eq:u-kk-window,PROJECT_DEFINITION,window lengths/L:[1];normalized kernel:[1],declared radial shell or oriented box excluding singular support,DEFINED_NOT_EVIDENCE,boundary source and probe preparation remain nuisances,zero-window normalization or transport-conformance failure
eq:u-kk-dilation,NEGATIVE_RESULT,r/L source_size/L window_size/L:[1],joint positive dilation of all geometric lengths with fixed dimensionless preparation,JOINT_5D_GEOMETRIC_DILATION_NOT_INTERIOR_ABSOLUTE_SCALE,does not rule out external calibrated standards,dimensionless raw record changes under verified joint dilation
