claim_id,classification,status,evidence,limitation,falsifier
UMCH-U-0001,HYPOTHESIS,UNPROVEN,ratified operational statement,no real-data evidence,admissible resolved region incompatible with preregistered positive floor
UMCH-U-0002,NEGATIVE_RESULT,SUPERSEDED_AS_CORE,covariant geodesic equation invalidates mandatory worldline-curvature core,does not characterize all spacetime curvature,derivation restoring mandatory worldline floor without reaction force
UMCH-U-0003,NEGATIVE_RESULT,CONTRADICTED_UNDER_ASSUMPTIONS,deterministic Candidate A/B analyses,only fixed historical models,reproducible nondegenerate admissible sector satisfying original claims
UMCH-U-0004,HYPOTHESIS,UNPROVEN,multiscale operational specification,realized-universe scope only,preregistered null response in admissible resolved region
UMCH-U-0005,OPEN_PROBLEM,FRAME_UNRESOLVED,vacuum frame certificate gate,no universal continuation theorem,unique covariant continuation proved for declared domain
UMCH-U-0006,PROJECT_DERIVATION,SUPPORTED_WITH_CONDITIONS,raw-vector protocol and exact controls,channel definitions remain protocol-dependent,counterexample showing hidden curvature under full raw vector
UMCH-U-0007,KNOWN_RESULT,SUPPORTED_WITH_CONDITIONS,verified canonical time/null/congruence sources,sources do not establish UMCH,canonical source contradicting stated standard context
UMCH-U-0008,HYPOTHESIS,NO_POSITIVE_DETECTION_CLAIM,preregistered null and positive family contract,no real observations analyzed,independent preregistered replicated positive result
UMCH-U-0009,TOY_CONTROL,NO_POSITIVE_DETECTION_CLAIM,deterministic FLRW exact-case specialization,known curvature not universal floor,calculation mismatch under same conventions
UMCH-U-0010,TOY_CONTROL,SUPPORTED_WITH_CONDITIONS,VSI source and deterministic type-N toy,not realized-universe data,proof raw vector also vanishes in stated toy
UMCH-U-0011,NEGATIVE_RESULT,ELL0_STRUCTURALLY_NON_IDENTIFIABLE_UNDER_CURRENT_FAMILIES,exact reparameterization identities,scoped to current free families,independent calibration or family removing symmetry
UMCH-U-0012,PROJECT_DERIVATION,MATHEMATICAL_IDENTIFIABILITY_CANDIDATE_ONLY,analytic two-scale inversion and synthetic control,p and q must be independently fixed,counterexample to inversion under fixed shape and domain
UMCH-U-0013,OPEN_PROBLEM,BLOCKED_PENDING_INDEPENDENT_NONLOCAL_MECHANISM,dimensional p gate and local-expansion audit,p=2 scoped and q not derived,independent covariant mechanism deriving fixed q
UMCH-U-0014,HYPOTHESIS,NO_POSITIVE_DETECTION_CLAIM,ordered inference gate with reason-coded failures,eligibility is not evidence; real likelihood nuisance and replication absent,preregistered replicated identifiable observation passing every gate
UMCH-U-0015,NEGATIVE_RESULT,NO_POSITIVE_DETECTION_CLAIM,combined claim ledger and deterministic studies,not disproof of every UMCH formulation,independent evidence meeting every registered gate
UMCH-U-0016,HYPOTHESIS,REFORMULATION_CANDIDATE_UNRATIFIED,human-ratified engineering spec for compact 5D effective-gravity candidate,model existence and scientific core adoption remain unratified; no data,canonical source or observation excluding all 5D projection realizations under declared assumptions
UMCH-U-0017,PROJECT_DERIVATION,MODEL_LEVEL_DIMENSIONLESS_KK_SHAPE_DERIVED_NOT_EVIDENCE,source-scoped compact-circle potential differentiated and averaged as raw finite-window tidal matrices,Newtonian scalar toy is not complete gauge-fixed 5D tensor dynamics or evidence,independent recalculation mismatch under identical source profile window and conventions
UMCH-U-0018,NEGATIVE_RESULT,L_NOT_IDENTIFIABLE_WITHOUT_SOURCE_PROBE_AND_WINDOW_CALIBRATION,uniform-profile null projection source/window controls and exact joint geometric dilation,local rank and noiseless model records do not imply global physical identifiability,derived physical calibration and joint covariance that remove scale null direction
