claim_id,source_paragraph_id,original_text,normalized_it,translation_en,sector,claim_type,prerequisites,equation_ids,reference_ids,dimensional_check,evidence_level,status,reviewer,decision,rationale
UMCH-CLM-0001,UMCH-SRC-P0001,Dimostrazione e Prove Relatività Einstein,,,gravitation,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0002,UMCH-SRC-P0002,https://gemini.google.com/app/7be2a2bff8704a94,,,unclassified,CONJECTURE,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0003,UMCH-SRC-P0003,User prompt: Crea paper scientifico sia in italiano che inglese,,,unclassified,CONJECTURE,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0004,UMCH-SRC-P0004,Response: Elettrodinamica e Gravità in Spaziotempi con Curvatura Geodetica Minima Ineliminabile: Un Quadro Teorico Unificato,,,gravitation,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0005,UMCH-SRC-P0005,Sommario,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0006,UMCH-SRC-P0006,"Si propone una riformulazione rigorosa della dinamica relativistica, dell'elettrodinamica quantistica (QED) e della gravità quantizzata linearizzata fondata sull'assioma dell'inesistenza del moto rettilineo uniforme (κ=0). Assumendo l'esistenza di un limite inferiore di curvatura geodetica per qualsiasi linea d'universo (κ≥κ0​>0), si dimostra come l'equazione di Abraham-Lorentz-Dirac (ALD) venga regolarizzata eliminando le soluzioni runaway. Si ricavano gli stati coerenti del campo elettromagnetico e gravitazionale generati da correnti a spirale, caratterizzati da quanto di momento angolare orbitale (OAM). Infine, si confronta il tasso di decoerenza gravitazionale intrinseco con il modello di Diósi-Penrose e si analizza il rapporto di potenza R=PEM​/Pgrav​ in prossimità dell'orizzonte degli eventi di Reissner-Nordström.",,,cosmology,ASSUMPTION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0007,UMCH-SRC-P0007,1. Introduzione e Assiomatizzazione Kinematica,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0008,UMCH-SRC-P0008,"Il principio d'inerzia classico assume che in assenza di forze un corpo persista in uno stato di moto rettilineo uniforme, corrispondente all'annullamento della quadri-accelerazione Aμ=0. In questo lavoro postuliamo che la linea d'universo di qualsiasi entità fisica dotata di energia-impulso sia soggetta a una curvatura geodetica minima ineliminabile κ0​>0.",La relatività speciale ammette moto inerziale con quadri-accelerazione nulla; il limite κ≥κ₀>0 è invece un postulato UMCH.,Special relativity admits inertial motion with vanishing four-acceleration; κ≥κ₀>0 is instead a UMCH postulate.,cosmology,ASSUMPTION,,UMCH-EQ-0001,FormigaRomero2006;Will2014,PASS_WITH_CONDITIONS,STANDARD_RESULT_PLUS_UNPROVEN_POSTULATE,SUPPORTED_WITH_CONDITIONS,Repository foundational audit 2026-08-21,SPLIT_STANDARD_RESULT_FROM_HYPOTHESIS,Aμ=0 for inertial motion is standard; a universal positive lower bound is not derived and remains UNPROVEN.
UMCH-CLM-0009,UMCH-SRC-P0009,"Nel quadro di Frenet-Serret 4D, la quadri-velocità Uμ e la quadri-accelerazione Aμ soddisfano il vincolo:",,,geometry,CONJECTURE,,UMCH-EQ-0002,FormigaRomero2006,PASS_WITH_CONDITIONS,STANDARD_FORMALISM,SUPPORTED_WITH_CONDITIONS,Repository foundational audit 2026-08-21,RETAIN_AS_SETUP_ONLY,A timelike Frenet–Serret frame is standard under regularity and nonzero-curvature conditions; it does not supply the lower bound.
UMCH-CLM-0010,UMCH-SRC-P0010,"dτDUμ​=Aμ=c2κ(τ)Nμ,κ(τ)≥κ0​>0",,,geometry,CONJECTURE,,UMCH-EQ-0003,FormigaRomero2006,PASS_WITH_NOTATION_CORRECTION,STANDARD_IDENTITY_PLUS_UNPROVEN_INEQUALITY,CORRECTABLE,Repository foundational audit 2026-08-21,SEPARATE_IDENTITY_AND_HYPOTHESIS,"D Uμ/dτ=Aμ=c²κNμ is dimensionally consistent for the declared convention; κ≥κ₀>0 is an independent unproven hypothesis, not a Frenet–Serret consequence."
UMCH-CLM-0011,UMCH-SRC-P0011,"dove Nμ è il quadri-vettore normale unitario (NμNμ​=1) e UμUμ​=−c2. Poiché Uμ​Nμ=0, la norma dell'energia-impulso PμPμ​=−m02​c2 rimane rigorosamente invariante.",,,unclassified,CONJECTURE,,UMCH-EQ-0004,FormigaRomero2006,PASS_WITH_CONDITIONS,DERIVABLE_FOR_CONSTANT_REST_MASS,SUPPORTED_WITH_CONDITIONS,Repository foundational audit 2026-08-21,RETAIN_WITH_ASSUMPTIONS,U·A=0 follows from differentiating U·U=-c². P·P=-m₀²c² follows for P=m₀U and constant m₀; N normalization assumes κ≠0.
UMCH-CLM-0012,UMCH-SRC-P0012,2. Dinamica di Abraham-Lorentz-Dirac e Radiazione,,,radiation-reaction,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0013,UMCH-SRC-P0013,L'equazione del moto relativistica per una carica q con reazione di radiazione (ALD) assume la forma:,,,unclassified,ASSUMPTION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
